id;processo;tribunal;natureza;distribuicao_data;numero;instancia;codigo_identificador;id
101;8000799-87.2019.8.05.0142;TJBA;"PROCEDIMENTO COMUM CIVEL";2019-06-06;80007998720198050142;1;"PROCEDIMENTO COMUM CÍVEL 8000799-87.2019.8.05.0142";367357876
102;5001409-90.2019.4.04.7119;TRF4;"AGRAVO DE INSTRUMENTO";2022-06-30;50294853920224040000;2;"5029485-39.2022.4.04.0000 Agravo de Instrumento";493257223
103;5055805-79.2016.4.04.7100;TRF4;"AGRAVO DE INSTRUMENTO";2017-04-25;50188541220174040000;2;"5018854-12.2017.4.04.0000 Agravo de Instrumento";419154203
104;5055805-79.2016.4.04.7100;TRF4;"AGRAVO DE INSTRUMENTO";2018-10-03;50378156420184040000;2;"5037815-64.2018.4.04.0000 Agravo de Instrumento";480026638
105;5055805-79.2016.4.04.7100;TRF4;"AGRAVO DE INSTRUMENTO";2020-02-11;50051900620204040000;2;"5005190-06.2020.4.04.0000 Agravo de Instrumento";396349752
106;5055805-79.2016.4.04.7100;TRF4;"REINTEGRACAO MANUTENCAO DE POSSE";2016-07-18;50492349220164047100;1;"5049234-92.2016.4.04.7100 REINTEGRAÇÃO / MANUTENÇÃO DE POSSE";368103657
107;5049234-92.2016.4.04.7100;TRF4;"REINTEGRACAO MANUTENCAO DE POSSE";2016-08-15;50558057920164047100;1;"5055805-79.2016.4.04.7100 REINTEGRAÇÃO / MANUTENÇÃO DE POSSE";368050471
108;5049234-92.2016.4.04.7100;TRF4;"AGRAVO DE INSTRUMENTO";2018-10-03;50378112720184040000;2;"5037811-27.2018.4.04.0000 Agravo de Instrumento";419151025
109;5049234-92.2016.4.04.7100;TRF4;"AGRAVO DE INSTRUMENTO";2020-02-11;50051831420204040000;2;"5005183-14.2020.4.04.0000 Agravo de Instrumento";396318841
110;0142178-03.2019.8.19.0001;TJRJ;"AGRAVO DE INSTRUMENTO - CIVEL";2021-11-09;834838820218190000;2;"0083483-88.2021.8.19.0000 AGRAVO DE INSTRUMENTO - CÍVEL";478482337
111;5008898-20.2019.4.04.7204;TRF4;"EXECUCAO FISCAL";2018-04-19;50024827620184047202;1;"EXECUÇÃO FISCAL 5002482-76.2018.4.04.7202";317517019
112;5008898-20.2019.4.04.7204;TRF4;"APELACAO CIVEL";2020-07-28;50088982020194047204;2;"5008898-20.2019.4.04.7204 Apelação Cível";413381103
113;0000607-17.2019.8.11.0082;TJMT;"PROCESSO ADMINISTRATIVO";2019-02-25;6071720198110082;1;"607-17.2019.811.0082 Processo Administrativo 51158";369073167
114;5002206-08.2019.4.04.7203;TRF4;"APELACAO CIVEL";2019-08-27;50031634320184047203;2;"5003163-43.2018.4.04.7203 Apelação Cível";480900463
115;5002206-08.2019.4.04.7203;TRF4;"REINTEGRACAO MANUTENCAO DE POSSE";2018-09-27;50031634320184047203;1;"REINTEGRAÇÃO / MANUTENÇÃO DE POSSE 5003163-43.2018.4.04.7203";335192820
116;5002206-08.2019.4.04.7203;TRF4;"REINTEGRACAO MANUTENCAO DE POSSE";2018-09-27;50031634320184047203;1;"5003163-43.2018.4.04.7203 REINTEGRAÇÃO / MANUTENÇÃO DE POSSE";360435706
117;5002206-08.2019.4.04.7203;TRF4;INTERPELACAO;2019-08-29;50028219520194047203;1;"5002821-95.2019.4.04.7203 INTERPELAÇÃO";376401582
118;0002623-88.2012.4.05.8100;TRF5;"1 - ACAO CIVIL PUBLICA";2012-06-19;89123720124058100;1;"0008912-37.2012.4.05.8100 1 - AÇÃO CIVIL PÚBLICA";345863296
119;0002623-88.2012.4.05.8100;STF;"RECURSO EXTRAORDINARIO COM AGRAVO";2019-06-14;89123720124058100;4;"ARE 1217611";368243983
